name	x	y	z	size
LTP1	-0.024683777945187	0.017324835956567	-0.0210509462549128	n/a
LTP2	-0.0270060775653069	0.017705787636364	-0.020260711652189	n/a
LTP3	-0.0304694933104134	0.0177057871476324	-0.0200033277658181	n/a
LTP4	-0.0344694932985383	0.0175391219206384	-0.0193366604373785	n/a
LTP5	-0.0374694922224773	0.0180391219646973	-0.0188366602419307	n/a
LTP6	-0.0407694944644849	0.0184391213132561	-0.0183366606451622	n/a
LENT1	-0.0242552070166698	0.0058962624073568	-0.0347652331785006	n/a
LENT2	-0.0271694923669962	0.0064391201772838	-0.0343366614295133	n/a
LENT3	-0.0313694925747028	0.006839120542102	-0.0339366616441011	n/a
LENT4	-0.0344694945590382	0.0075391198625739	-0.0333366616596621	n/a
LENT5	-0.0376361604107908	0.0077057872326036	-0.0328366613476382	n/a
LENT6	-0.0409694943768078	0.0082391192608349	-0.0321366619675684	n/a
LAMY1	-0.0127694916706458	-0.0057608809551612	-0.0141366605235328	n/a
LAMY2	-0.0175694931381216	-0.0043608798446701	-0.0141366607263435	n/a
LAMY3	-0.0229694928085731	-0.0034608807701144	-0.0138366607267761	n/a
LAMY4	-0.0283028267091885	-0.0024608798291576	-0.0136699939550224	n/a
LAMY5	-0.0329694913050347	-0.0016275473574525	-0.0136699941692656	n/a
LAMY6	-0.0384694923935132	-0.00046088049623	-0.0133366616564017	n/a
LAMY7	-0.0441694938708209	0.0004391201517412	-0.0129366609166003	n/a
LAMY8	-0.0497694932103529	0.0014391195522118	-0.0127366610882215	n/a
LAMY9	-0.0544694930729734	0.0025391202053387	-0.0123366601095731	n/a
LAMY10	-0.0590380903642251	0.0037266213440827	-0.0121974194789932	n/a
LAH1	-0.0179694919304944	-0.0167608813602963	-0.0151366598668288	n/a
LAH2	-0.0224694918453048	-0.0164608812955313	-0.015336661386379	n/a
LAH3	-0.0283694921102661	-0.0163608813677814	-0.0155366608458282	n/a
LAH4	-0.0336361600373577	-0.0162942145952706	-0.0153366600191149	n/a
LAH5	-0.039302824786783	-0.0156275471295042	-0.0153366613248553	n/a
LAH6	-0.044569492697858	-0.0155608812370093	-0.0151366608025718	n/a
LAH7	-0.0499694946133489	-0.0151608809063834	-0.0151366600384032	n/a
LAH8	-0.0553694926430788	-0.0147608811531096	-0.0147366613642648	n/a
LAH9	-0.0609694969152507	-0.0145608806164123	-0.0145366614745162	n/a
LPH1	-0.0129694925749119	-0.0301608819345887	-0.0165366605405238	n/a
LPH2	-0.0176361586921743	-0.0302942149708977	-0.0148366612393447	n/a
LPH3	-0.0225694926742155	-0.030360881530467	-0.0131366614681704	n/a
LPH4	-0.0275694935747976	-0.0305608818830016	-0.0111366605452904	n/a
LPH5	-0.0325694912263943	-0.0305608818318631	-0.0085366603698311	n/a
LPH6	-0.0377694914207032	-0.0307608821594771	-0.006336659263594	n/a
LPH7	-0.0419694937628895	-0.0307608820141231	-0.0045366598068803	n/a
LPH8	-0.0469694947987829	-0.0307942152531052	-0.0023366601853415	n/a
LPH9	-0.051969492406032	-0.0309608823019071	-0.0003366586789944	n/a
LPH10	-0.0569694931631964	-0.0311608813828719	0.0018633387308425	n/a
LPLAN1	-0.0273694929285951	-0.0085608813337704	-0.0021366597450066	n/a
LPLAN2	-0.0306361591496943	-0.0084608801818339	-0.0016699937011787	n/a
LPLAN3	-0.0337194920285424	-0.0077108813821236	-0.0015866593936275	n/a
LPLAN4	-0.0376361589818784	-0.0072942144175135	-0.0013366602689	n/a
LPLAN5	-0.0407194925106233	-0.0072108807348823	-0.0010866596060782	n/a
LPLAN6	-0.044569493726863	-0.006560881145592	-0.0007366605952889	n/a
LPLAN7	-0.0483028273809284	-0.0066275475237044	-0.0003366597023109	n/a
LPLAN8	-0.0514694924232065	-0.0064608805402539	-0.0003366589742116	n/a
LTPO1	-0.0259694919802685	-0.0491608828794674	-0.0015366584758466	n/a
LTPO2	-0.0293694911822547	-0.0493608829712936	-0.0015366586262533	n/a
LTPO3	-0.0325694936439844	-0.0493608832468674	-0.0021366599971149	n/a
LTPO4	-0.0362194921691422	-0.0492108830381311	-0.002086660471929	n/a
LTPO5	-0.0395694926225558	-0.0493608818583796	-0.0021366614761075	n/a
LTPO6	-0.0432194949701519	-0.0492108828968701	-0.0020866585466642	n/a
LTPO7	-0.0464694940915158	-0.0492942168281487	-0.0020033252298881	n/a
LTPO8	-0.050469492370414	-0.0494608827940085	-0.0023366600128148	n/a
LPCING1	-0.0029694917454383	-0.053160883788594	0.0044633401745279	n/a
LPCING2	-0.0089694917497775	-0.0567608824668556	0.0034633389706199	n/a
LPCING3	-0.0147694929111581	-0.0603608836540814	0.0026633406266041	n/a
LPCING4	-0.0209694923677866	-0.0642108841141105	0.0016633391753955	n/a
LPCING7	-0.0385694941290906	-0.0757608825223958	-0.0009366611702799	n/a
LPCING8	-0.0441694934903488	-0.0795608859735527	-0.0019366594652171	n/a
LACING1	-0.0029694915702215	0.0042391187969796	0.0324633421939685	n/a
LACING2	-0.0094694916836572	0.0053724531681896	0.0329966753544131	n/a
LACING3	-0.0166361592821153	0.0067057857183516	0.0336633408093382	n/a
LACING4	-0.0234694927308134	0.0077057881661713	0.0343300073737471	n/a
LACING5	-0.0303694924149226	0.0082391201664747	0.0350633428611008	n/a
LACING6	-0.0371694926625457	0.0096391215301032	0.0356633424527164	n/a
LACING7	-0.0449694925921705	0.0108391181655285	0.0364633421818386	n/a
LACING8	-0.0506768109416807	0.0114260767229527	0.0367671388910082	n/a
LOFC1	-0.0019694915711098	0.0328391210527435	-0.0041366602760914	n/a
LOFC2	-0.0088266350344229	0.0324676919702844	-0.0016223745916912	n/a
LOFC3	-0.0154694924838585	0.0323724530505641	0.0009966723068299	n/a
LOFC4	-0.0218028252557026	0.0322057900801766	0.0029966749836	n/a
LOFC5	-0.0287694920862577	0.0320391181819997	0.0052633397571099	n/a
LOFC6	-0.0349694913318641	0.0320391177695508	0.00766333878011	n/a
LOFC7	-0.042169492949571	0.0320391224691484	0.0100633403501465	n/a
LOFC8	-0.0486077047335789	0.0320391246033084	0.0121316958792337	n/a
LAINS1	-0.0287694934044235	0.0068391191687654	-0.0073366612258707	n/a
LAINS2	-0.0268028256476864	0.0070391186677569	-0.0021699937069427	n/a
LAINS3	-0.0253028254557335	0.0075391214498039	0.0033300072214865	n/a
LAINS4	-0.023769491821795	0.008039119703094	0.0080633399417315	n/a
LAINS5	-0.0219694930850629	0.0082057869834781	0.0136633407236975	n/a
LAINS6	-0.0203028255364083	0.0090391199444888	0.0193300061881519	n/a
LAINS7	-0.0189694928550999	0.0092057885450454	0.0236633412580294	n/a
LAINS8	-0.0179694921552796	0.0100391203908736	0.0296633402033276	n/a
LPINS1	-0.0279694929228255	0.0038391204395089	-0.0021366595699156	n/a
LPINS2	-0.0274694924872624	-0.0009608800514108	0.0003300065024504	n/a
LPINS3	-0.026969492405864	-0.0059608794751951	0.002496671920753	n/a
LPINS4	-0.0266361591944237	-0.0104608811394077	0.0043300056442977	n/a
LPINS7	-0.0251694933551333	-0.0251608818459142	0.0106633421942911	n/a
LPINS8	-0.0249694925882361	-0.030160882171568	0.0128633415606186	n/a
LPHG1	-0.0169694931090785	-0.026760881746015	-0.0221366608434973	n/a
LPHG2	-0.021769492412324	-0.02596088175911	-0.0209366606159712	n/a
LPHG3	-0.0274694934655492	-0.0256275479396789	-0.0200033285681778	n/a
LPHG4	-0.0329694944429675	-0.0251608815801245	-0.0191366609621802	n/a
LPHG5	-0.0383694941719139	-0.0247608816379948	-0.0177366603669441	n/a
LPHG6	-0.0439694927642067	-0.0246275479835668	-0.0168366614420997	n/a
LPHG7	-0.048969495276005	-0.0242942146319296	-0.0160033282085156	n/a
LPHG8	-0.054469495449825	-0.0239608817475452	-0.0148366606818331	n/a
LPHG9	-0.0594694905147769	-0.02362754833961	-0.0140033272191977	n/a
LPHG10	-0.0643231545290256	-0.0236115023228346	-0.0134478730652709	n/a
RTP1	0.0219772221640462	0.0181599249531211	-0.0257164079035984	n/a
RTP2	0.0250223799915959	0.0190391204717677	-0.0251552266966368	n/a
RTP3	0.0279979889113302	0.0197239044955821	-0.0241678844079219	n/a
RTP4	0.0310061196822496	0.0203499914082926	-0.0232961544202326	n/a
RTP5	0.0344012410921362	0.021052164697502	-0.0217721039426845	n/a
RTP6	0.0377817291239213	0.0217369455419488	-0.020551851336949	n/a
RAH1	0.0202305102857514	-0.0135608807077168	-0.0153366614034197	n/a
RAH2	0.027363842946922	-0.0134608804170534	-0.0146699946076504	n/a
RAH3	0.0344305111185916	-0.0133608806267434	-0.0135366605757521	n/a
RAH4	0.0411733694962565	-0.0132465955518032	-0.0129080885524046	n/a
RAH5	0.0484305096107674	-0.0133608812197144	-0.0115366609269342	n/a
RAH6	0.0556971783129074	-0.0134608807471437	-0.0106699938377203	n/a
RAH7	0.06243051181035	-0.0133608809045206	-0.0095366608591611	n/a
RAH8	0.0691036799995211	-0.0135166780265445	-0.0085265336733423	n/a
RINS1	0.0298305101893789	-0.0135608807736907	0.0026633410800649	n/a
RINS2	0.0328305097077471	-0.013560880388372	0.0032633386307516	n/a
RINS3	0.0365305111154806	-0.0134608809720371	0.0036633387978009	n/a
RINS4	0.0396305107224495	-0.0133608806998197	0.0038633397300267	n/a
