trial_number	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fix_onset_time	fixation_time	go_time	target_duration	response_time	correct	pd_parser_sample
1	fast	0.5	0.6	right	79	2.1103	206.2571	0.38009	1.4334	1.333	3.5258	0	n/a
2	fast	0.6	0.4	right	79	0.86685	215.2358	0.32136	1.3427	1.333	2.1908	1	516584
3	fast	0.6	0.4	left	80	1.2361	224.1213	0.3237	1.3283	1.333	2.5454	1	525472
4	fast	0.6	0.3	right	79	1.0667	232.9918	0.324	1.2283	1.333	2.2759	1	534342
5	fast	0.6	0.7	right	79	1.0784	241.763	0.33981	1.6292	1.333	2.6913	1	543130
6	fast	0.3	0.6	left	80	0.84088	250.9407	0.33406	1.2377	1.333	2.0593	1	552301
7	fast	0.4	0.4	right	79	1.0855	259.7203	0.34152	1.1267	1.333	2.1956	1	561089
8	fast	0.7	0.5	right	79	0.98016	268.4227	0.34316	1.5304	1.333	2.4921	1	n/a
9	fast	0.4	0.7	left	80	2.33	277.4966	0.34108	1.4288	1.333	3.739	0	578864
10	fast	0.3	0.5	left	80	1.0579	286.4679	0.33931	1.1289	1.333	2.167	1	587835
11	fast	0.7	0.5	left	80	0.93098	295.141	0.33732	1.5423	1.333	2.454	1	596506
12	fast	0.6	0.5	right	79	1.1658	304.2267	0.33857	1.4257	1.333	2.5732	1	605593
13	fast	0.4	0.3	left	80	0.86323	313.1959	0.34247	1.0284	1.333	1.8735	1	614564
14	fast	0.4	0.3	left	80	0.98427	321.7689	0.3607	1.0257	1.333	1.9917	1	623152
15	fast	0.7	0.5	right	79	1.0109	330.3403	0.34078	1.5252	1.333	2.5173	1	631706
16	fast	0.3	0.6	right	79	0.93217	339.4078	0.35924	1.2278	1.333	2.1416	1	640794
17	fast	0.3	0.7	left	80	0.96659	348.1778	0.34213	1.3288	1.333	2.2771	1	649548
18	fast	0.6	0.5	right	79	0.97488	357.0502	0.35827	1.4282	1.333	2.3852	1	658435
19	fast	0.7	0.7	left	80	0.9916	366.0266	0.36887	1.7393	1.333	2.7127	1	667423
20	fast	0.4	0.6	right	79	1.8105	375.3148	0.36937	1.3886	1.333	3.1815	0	676711
21	fast	0.4	0.3	left	80	0.8883	384.2503	0.35313	1.0387	1.333	1.9108	1	685632
22	fast	0.3	0.4	left	80	0.96508	392.837	0.35482	1.0414	1.333	1.9874	1	694219
23	fast	0.7	0.4	right	79	0.95391	401.4233	0.34226	1.4252	1.333	2.361	1	702790
24	fast	0.7	0.4	right	79	1.0019	410.3985	0.35169	1.4364	1.333	2.4214	1	711778
25	fast	0.3	0.6	right	79	1.3023	419.3793	0.3411	1.2279	1.333	2.5123	1	720749
26	fast	0.7	0.5	left	80	1.3699	428.1502	0.34142	1.5264	1.333	2.879	0	729519
27	fast	0.3	0.4	right	79	1.1393	437.2265	0.33568	1.0389	1.333	2.161	1	738590
28	fast	0.3	0.7	right	79	1.3619	445.809	0.35675	1.3274	1.333	2.6709	0	747195
29	fast	0.5	0.3	right	79	1.0039	454.6795	0.34057	1.1273	1.333	2.1139	1	756049
30	fast	0.7	0.6	left	80	1.6569	463.3504	0.35784	1.6293	1.333	3.2665	0	764736
31	fast	0.3	0.5	left	80	1.3143	472.5241	0.35494	1.1248	1.333	2.4211	1	773907
32	fast	0.7	0.4	right	79	0.8761	481.1917	0.34131	1.4275	1.333	2.2858	1	782562
33	fast	0.5	0.5	right	79	1.0423	490.1623	0.34204	1.3294	1.333	2.3521	1	791533
34	fast	0.5	0.3	right	79	1.0154	499.0331	0.34175	1.1274	1.333	2.1252	1	800403
35	fast	0.3	0.6	right	79	1.0977	507.7041	0.34168	1.2289	1.333	2.307	1	809074
36	fast	0.3	0.3	right	79	1.1698	516.4796	0.33664	0.94007	1.333	2.0925	1	817845
37	fast	0.3	0.7	right	79	0.946	524.9633	0.34053	1.3267	1.333	2.255	1	826333
