onset	duration	trial_type	value	sample
574.4327029411764	0.10003662109375	Fixation	1	574095
575.1331147058823	0.0999755859375	ISI Onset	3	574795
575.3912664705882	0.0999755859375	Go Cue	2	575053
577.4304652941177	0.0999755859375	Response	4	577091
584.0333470588234	0.10003662109375	Fixation	1	583690
584.6337	0.0999755859375	ISI Onset	3	584290
585.0249299999999	0.10003662109375	Go Cue	2	584681
585.8874370588235	0.0999755859375	Response	4	585543
593.6339911764705	0.10003662109375	Fixation	1	593285
594.0342264705882	0.0999755859375	ISI Onset	3	593685
594.4344617647058	0.10003662109375	Go Cue	2	594085
596.2435252941176	0.0999755859375	Response	4	595893
603.0525282352941	0.0999755859375	Fixation	1	602698
603.75294	0.10003662109375	ISI Onset	3	603398
604.4523511764705	0.10003662109375	Go Cue	2	604097
605.6000258823528	0.0999755859375	Response	4	605244
613.0864270588235	0.0999755859375	Fixation	1	612726
613.4866623529412	0.10003662109375	ISI Onset	3	613126
613.9869564705882	0.10003662109375	Go Cue	2	613626
616.6014935294118	0.0999755859375	Response	4	616239
622.6370417647058	0.10003662109375	Fixation	1	622271
623.3374535294117	0.0999755859375	ISI Onset	3	622971
623.63763	0.0999755859375	Go Cue	2	623271
625.5447511764705	0.10003662109375	Response	4	625177
632.2556964705882	0.10003662109375	Fixation	1	631884
632.8560494117646	0.0999755859375	ISI Onset	3	632484
633.4574029411764	0.0999755859375	Go Cue	2	633085
635.0453364705882	0.0999755859375	Response	4	634672
642.0894776470587	0.0999755859375	Fixation	1	641712
642.389654117647	0.0999755859375	ISI Onset	3	642012
642.889948235294	0.0999755859375	Go Cue	2	642512
643.7464517647059	0.0999755859375	Response	4	643368
651.507014117647	0.0999755859375	Fixation	1	651124
651.9072494117646	0.10003662109375	ISI Onset	3	651524
652.5096035294117	0.10003662109375	Go Cue	2	652126
653.4151358823528	0.0999755859375	Response	4	653031
661.1416782352941	0.10003662109375	Fixation	1	660753
661.6419723529411	0.0999755859375	ISI Onset	3	661253
661.9381464705882	0.0999755859375	Go Cue	2	661549
662.8196647058822	0.10003662109375	Response	4	662430
670.5592147058823	0.10003662109375	Fixation	1	670165
671.0595088235293	0.0999755859375	ISI Onset	3	670665
671.5568011764706	0.0999755859375	Go Cue	2	671162
672.1701617647059	0.0999755859375	Response	4	671775
680.1768688235294	0.0999755859375	Fixation	1	679777
680.577104117647	0.10003662109375	ISI Onset	3	680177
681.0753970588235	0.10003662109375	Go Cue	2	680675
681.6407294117646	0.0999755859375	Response	4	681240
689.7124747058823	0.10003662109375	Fixation	1	689307
690.2127688235294	0.0999755859375	ISI Onset	3	689807
690.9121799999999	0.10003662109375	Go Cue	2	690506
691.9247752941176	0.0999755859375	Response	4	691518
699.5462558823529	0.0999755859375	Fixation	1	699135
700.1466088235294	0.0999755859375	ISI Onset	3	699735
700.4487864705882	0.0999755859375	Go Cue	2	700037
701.3212994117647	0.10003662109375	Response	4	700909
709.0638511764705	0.10003662109375	Fixation	1	708647
