trial_number	correct	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fixation_time	go_time	target_duration	response_time	trial_length	pd_parser_sample
168	0	slow	0.6	0.3	left	80	0.45366	0.33004	1.2353	2.2937	1.6688	7.0197	2170157
169	0	slow	0.5	0.3	left	80	0.34756	0.34757	1.1342	2.2937	1.4619	6.9187	2177194
170	0	slow	0.6	0.4	left	80	0.32389	0.33122	1.3362	2.2937	1.64	7.1207	2184098
171	0	slow	0.3	0.4	left	80	0.45691	0.34704	1.0338	2.2937	1.4729	6.8206	2191235
172	0	slow	0.5	0.3	left	80	0.43197	0.36374	1.1356	2.2937	1.5472	6.9197	2198071
173	1	slow	0.3	0.5	right	79	0.3459	0.34719	1.1347	2.2937	1.4609	6.9199	2204975
174	0	slow	0.5	0.3	left	80	0.4366	0.34665	1.1348	2.2937	1.5511	6.9191	2211895
175	0	slow	0.3	0.7	left	80	0.42729	0.34761	1.336	2.2937	1.7431	7.1201	2218815
176	1	slow	0.6	0.3	right	79	0.36943	0.34777	1.2364	2.2937	1.5851	7.0205	2225936
177	0	slow	0.7	0.7	left	80	0.37787	0.34705	1.7361	2.2937	2.0944	7.5213	2232956
178	1	slow	0.7	0.5	right	79	0.34366	0.34524	1.5352	2.2937	1.857	7.3181	2240476
179	1	slow	0.6	0.7	right	79	0.4611	0.34786	1.6368	2.2937	2.0777	7.4217	2247797
180	0	slow	0.6	0.5	left	80	0.455	0.34616	1.4346	2.2937	1.8696	7.2209	2255217
181	0	slow	0.4	0.5	left	80	0.5083	0.34479	1.2341	2.2937	1.7221	7.0195	2262437
182	1	slow	0.7	0.6	right	79	0.41944	0.36285	1.6335	2.2937	2.0353	7.4209	2269474
183	1	slow	0.7	0.6	right	79	0.45714	0.34513	1.634	2.2937	2.0707	7.4198	2276878
184	0	slow	0.5	0.6	left	80	0.34793	0.34595	1.4343	2.2937	1.7621	7.2209	2284298
185	1	slow	0.4	0.4	right	79	0.35962	0.34469	1.1325	2.2937	1.4718	6.9173	2291519
186	1	slow	0.3	0.4	right	79	0.44339	0.34684	1.0352	2.2937	1.4585	6.8203	2298439
187	0	slow	0.6	0.3	left	80	0.47982	0.34665	1.2351	2.2937	1.6945	7.0199	2305259
188	1	slow	0.6	0.3	right	79	0.45061	0.34567	1.2339	2.2937	1.6643	7.0191	2312279
189	0	slow	0.4	0.4	left	80	0.37954	0.34685	1.1353	2.2937	1.4943	6.9203	2319300
190	0	slow	0.5	0.6	left	80	0.40509	0.34634	1.435	2.2937	1.8198	7.2202	2326220
191	1	slow	0.4	0.3	right	79	0.40848	0.36337	1.0356	2.2937	1.424	6.8215	2333457
192	1	slow	0.4	0.7	right	79	0.48913	0.34438	1.4336	2.2937	1.9025	7.2186	2340260
193	1	slow	0.4	0.4	right	79	0.43575	0.34645	1.1352	2.2937	1.5505	6.9206	2347481
194	0	slow	0.4	0.6	left	80	0.42083	0.36226	1.3347	2.2937	1.7347	7.1197	2354417
195	0	slow	0.7	0.7	left	80	0.51465	0.3631	1.7351	2.2937	2.2295	7.5202	2361538
196	0	slow	0.7	0.6	left	80	0.35471	0.34667	1.6343	2.2937	1.9684	7.4194	2369041
197	0	slow	0.7	0.3	left	80	0.4272	0.36314	1.3352	2.2937	1.7424	7.121	2376479
198	1	slow	0.3	0.5	right	79	0.39548	0.36285	1.1325	2.2937	1.5103	6.9205	2383599
199	1	slow	0.3	0.4	right	79	0.39055	0.36151	1.0328	2.2937	1.4034	6.8196	2390519
200	0	slow	0.4	0.6	left	80	0.4109	0.36213	1.3337	2.2937	1.7242	7.1188	2397339
