trial_number	correct	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fixation_time	go_time	target_duration	response_time	trial_length	pd_parser_sample
82	0	slow	0.4	0.5	left	80	0.36681	0.3321	1.2377	2.2937	1.5839	7.0194	1382958
83	1	slow	0.4	0.7	right	79	0.51091	0.33244	1.4366	2.2937	1.9272	7.2181	n/a
84	1	slow	0.7	0.3	right	79	0.42456	0.33495	1.3394	2.2937	1.7438	7.1213	1397199
85	1	slow	0.5	0.4	right	79	0.44782	0.33368	1.2374	2.2937	1.6652	7.0198	1404319
86	1	slow	0.5	0.6	right	79	0.47488	0.33281	1.4382	2.2937	1.8936	7.2208	1411339
87	1	slow	0.6	0.7	right	79	0.4615	0.33273	1.6377	2.2937	2.0789	7.4197	1418560
88	0	slow	0.4	0.7	left	80	0.37266	0.33272	1.4382	2.2937	1.791	7.2208	1425980
89	1	slow	0.6	0.6	right	79	0.48077	0.33245	1.5372	2.2937	1.9985	7.3302	1433200
90	0	slow	0.5	0.5	left	80	0.41339	0.33935	1.3278	2.2937	1.7202	7.1094	1440537
91	0	slow	0.6	0.7	left	80	0.42829	0.33262	1.638	2.2937	2.0457	7.4202	1447641
92	1	slow	0.5	0.3	right	79	0.51701	0.33264	1.1372	2.2937	1.6344	6.9201	1455062
93	1	slow	0.6	0.5	right	79	0.39063	0.33269	1.4399	2.2937	1.8083	7.2205	1461982
94	1	slow	0.6	0.6	right	79	0.45643	0.3321	1.5375	2.2937	1.9744	7.3286	1469202
95	1	slow	0.3	0.3	right	79	0.38382	0.34058	0.92788	2.2937	1.2916	6.7101	1476539
96	0	slow	0.3	0.6	left	80	0.43363	0.33354	1.2386	2.2937	1.6523	7.0217	n/a
97	1	slow	0.3	0.5	right	79	0.38033	0.33189	1.1361	2.2937	1.4961	6.9183	1490263
98	0	slow	0.7	0.4	left	80	0.45509	0.33353	1.437	2.2937	1.8745	7.223	n/a
99	0	slow	0.3	0.7	left	80	0.38202	0.34657	1.3358	2.2937	1.6974	7.1204	1504420
100	0	slow	0.4	0.3	left	80	0.49111	0.3465	1.0353	2.2937	1.5062	6.8181	1511540
101	1	slow	0.7	0.4	right	79	0.49851	0.34869	1.4365	2.2937	1.9148	7.2192	1518360
102	1	slow	0.4	0.5	right	79	0.44424	0.33288	1.2375	2.2937	1.6619	7.0207	1525564
103	0	slow	0.7	0.3	left	80	0.38487	0.3488	1.3371	2.2937	1.7018	7.1201	1532601
104	0	slow	0.3	0.7	left	80	0.43602	0.34908	1.337	2.2937	1.7532	7.1203	1539721
105	0	slow	0.4	0.5	left	80	0.38723	0.34899	1.236	2.2937	1.6035	7.0187	1546841
106	0	slow	0.7	0.7	left	80	0.34288	0.34939	1.7378	2.2937	2.0612	7.5215	n/a
107	1	slow	0.5	0.3	right	79	0.5504	0.34849	1.137	2.2937	1.6673	6.9203	1561382
108	1	slow	0.3	0.4	right	79	0.4424	0.34878	1.0356	2.2937	1.458	6.8207	1568302
