onset	duration	trial_type	value	sample
1015.7941747058823	0.0999755859375	Fixation	1	1015197
1016.3945276470588	0.0999755859375	ISI Onset	3	1015797
1016.7937623529411	0.0999755859375	Go Cue	2	1016196
1017.2520317647057	0.10003662109375	Response	4	1016654
1023.311594117647	0.10003662109375	Fixation	1	1022710
1023.9119470588234	0.10003662109375	ISI Onset	3	1023310
1024.311181764706	0.0999755859375	Go Cue	2	1023709
1024.7744541176469	0.10009765625	Response	4	1024172
1030.8120035294116	0.0999755859375	Fixation	1	1030206
1031.412356470588	0.0999755859375	ISI Onset	3	1030806
1031.728542352941	0.0999755859375	Go Cue	2	1031122
1032.2788658823529	0.10009765625	Response	4	1031672
1038.246374117647	0.0999755859375	Fixation	1	1037636
1038.8467270588235	0.10009765625	ISI Onset	3	1038236
1039.546138235294	0.0999755859375	Go Cue	2	1038935
1040.039428235294	0.0999755859375	Response	4	1039428
1046.08098	0.10009765625	Fixation	1	1045466
1046.3811564705882	0.10009765625	ISI Onset	3	1045766
1046.9975188235294	0.0999755859375	Go Cue	2	1046382
1047.6448994117645	0.0999755859375	Response	4	1047029
1053.4983405882351	0.10009765625	Fixation	1	1052879
1053.8985758823528	0.0999755859375	ISI Onset	3	1053279
1054.3148205882353	0.0999755859375	Go Cue	2	1053695
1054.7040494117646	0.0999755859375	Response	4	1054084
1060.815642352941	0.0999755859375	Fixation	1	1060192
1061.516054117647	0.0999755859375	ISI Onset	3	1060892
1062.0323576470587	0.0999755859375	Go Cue	2	1061408
1062.5056358823529	0.0999755859375	Response	4	1061881
1068.5501894117647	0.0999755859375	Fixation	1	1067922
1068.9504247058824	0.0999755859375	ISI Onset	3	1068322
1069.6668458823528	0.0999755859375	Go Cue	2	1069038
1070.0810894117647	0.0999755859375	Response	4	1069452
1076.1676676470588	0.0999755859375	Fixation	1	1075535
1076.467844117647	0.0999755859375	ISI Onset	3	1075835
1076.9841476470588	0.0999755859375	Go Cue	2	1076351
1077.4494211764704	0.0999755859375	Response	4	1076816
1083.5019794117645	0.0999755859375	Fixation	1	1082865
1084.2023911764704	0.0999755859375	ISI Onset	3	1083565
1084.7186947058822	0.0999755859375	Go Cue	2	1084081
1085.1339388235294	0.0999755859375	Response	4	1084496
1091.235525882353	0.10009765625	Fixation	1	1090594
1091.8358788235294	0.0999755859375	ISI Onset	3	1091194
1092.335172352941	0.0999755859375	Go Cue	2	1091693
1092.743412352941	0.0999755859375	Response	4	1092101
1098.8369947058823	0.0999755859375	Fixation	1	1098191
1099.23723	0.10009765625	ISI Onset	3	1098591
1099.553415882353	0.0999755859375	Go Cue	2	1098907
1099.9326388235293	0.0999755859375	Response	4	1099286
1106.0712476470587	0.0999755859375	Fixation	1	1105421
1106.4714829411764	0.10009765625	ISI Onset	3	1105821
1106.7876688235294	0.0999755859375	Go Cue	2	1106137
1107.4200405882352	0.0999755859375	Response	4	1106769
1113.2884905882352	0.10009765625	Fixation	1	1112634
1113.988902352941	0.0999755859375	ISI Onset	3	1113334
1114.5042052941176	0.10009765625	Go Cue	2	1113849
1114.8113858823529	0.0999755859375	Response	4	1114156
1121.0230376470588	0.0999755859375	Fixation	1	1120364
1121.323214117647	0.0999755859375	ISI Onset	3	1120664
1121.9225664705882	0.0999755859375	Go Cue	2	1121263
1122.384838235294	0.0999755859375	Response	4	1121725
1128.440398235294	0.0999755859375	Fixation	1	1127777
1128.7405747058822	0.0999755859375	ISI Onset	3	1128077
1129.4569958823529	0.0999755859375	Go Cue	2	1128793
1129.985306470588	0.0999755859375	Response	4	1129321
1135.9578176470588	0.10009765625	Fixation	1	1135290
1136.5581705882353	0.0999755859375	ISI Onset	3	1135890
1137.074474117647	0.0999755859375	Go Cue	2	1136406
1137.4917194117645	0.0999755859375	Response	4	1136823
1143.5752958823527	0.0999755859375	Fixation	1	1142903
1144.2757076470587	0.0999755859375	ISI Onset	3	1143603
1144.9911282352941	0.10009765625	Go Cue	2	1144318
1145.4884205882352	0.0999755859375	Response	4	1144815
1151.50896	0.10009765625	Fixation	1	1150832
1151.9091952941176	0.0999755859375	ISI Onset	3	1151232
1152.5085476470588	0.0999755859375	Go Cue	2	1151831
1152.9217905882351	0.10009765625	Response	4	1152244
1159.01037	0.0999755859375	Fixation	1	1158329
1159.4106052941177	0.0999755859375	ISI Onset	3	1158729
1159.7267911764704	0.0999755859375	Go Cue	2	1159045
1160.130028235294	0.0999755859375	Response	4	1159448
1166.2276129411764	0.0999755859375	Fixation	1	1165542
1166.5277894117646	0.0999755859375	ISI Onset	3	1165842
1166.9440341176469	0.0999755859375	Go Cue	2	1166258
1167.7174888235293	0.0999755859375	Response	4	1167031
1173.4618658823529	0.0999755859375	Fixation	1	1172772
1174.1622776470588	0.10009765625	ISI Onset	3	1173472
1174.561512352941	0.0999755859375	Go Cue	2	1173871
1174.921724117647	0.0999755859375	Response	4	1174231
1181.079344117647	0.0999755859375	Fixation	1	1180385
1181.779755882353	0.0999755859375	ISI Onset	3	1181085
1182.1789905882351	0.0999755859375	Go Cue	2	1181484
1182.597236470588	0.0999755859375	Response	4	1181902
1188.679812352941	0.0999755859375	Fixation	1	1187981
1188.9799888235293	0.0999755859375	ISI Onset	3	1188281
1189.5963511764705	0.10009765625	Go Cue	2	1188897
1190.1957035294117	0.0999755859375	Response	4	1189496
1196.0971729411763	0.0999755859375	Fixation	1	1195394
1196.7975847058822	0.0999755859375	ISI Onset	3	1196094
1197.3128876470587	0.0999755859375	Go Cue	2	1196609
1197.7301329411764	0.0999755859375	Response	4	1197026
1203.83172	0.10009765625	Fixation	1	1203124
1204.1318964705881	0.10009765625	ISI Onset	3	1203424
1204.5311311764706	0.0999755859375	Go Cue	2	1203823
1205.02242	0.0999755859375	Response	4	1204314
1211.0329535294118	0.0999755859375	Fixation	1	1210321
1211.33313	0.0999755859375	ISI Onset	3	1210621
1212.0495511764705	0.0999755859375	Go Cue	2	1211337
1212.4728	0.0999755859375	Response	4	1211760
1218.5503729411764	0.0999755859375	Fixation	1	1217834
1219.0506670588234	0.0999755859375	ISI Onset	3	1218334
1219.3668529411764	0.0999755859375	Go Cue	2	1218650
1219.8501370588235	0.10009765625	Response	4	1219133
1225.8676747058823	0.0999755859375	Fixation	1	1225147
1226.5680864705882	0.0999755859375	ISI Onset	3	1225847
1227.183448235294	0.0999755859375	Go Cue	2	1226462
1227.6066970588233	0.0999755859375	Response	4	1226885
1233.7022805882352	0.0999755859375	Fixation	1	1232977
1234.0024570588234	0.0999755859375	ISI Onset	3	1233277
1234.5017505882352	0.10009765625	Go Cue	2	1233776
1234.9340047058822	0.10009765625	Response	4	1234208
1241.0195823529411	0.10009765625	Fixation	1	1240290
1241.719994117647	0.0999755859375	ISI Onset	3	1240990
1242.1192288235293	0.0999755859375	Go Cue	2	1241389
1242.475438235294	0.0999755859375	Response	4	1241745
1248.6370605882353	0.0999755859375	Fixation	1	1247903
1249.1373547058822	0.0999755859375	ISI Onset	3	1248403
1249.636648235294	0.10009765625	Go Cue	2	1248902
1250.2039817647058	0.0999755859375	Response	4	1249469
1256.15448	0.0999755859375	Fixation	1	1255416
1256.6547741176469	0.0999755859375	ISI Onset	3	1255916
1256.9709599999999	0.0999755859375	Go Cue	2	1256232
1257.5092764705882	0.0999755859375	Response	4	1256770
1263.4887917647059	0.0999755859375	Fixation	1	1262746
1263.788968235294	0.0999755859375	ISI Onset	3	1263046
1264.3883205882353	0.0999755859375	Go Cue	2	1263645
1264.8385852941176	0.0999755859375	Response	4	1264095
1270.906152352941	0.0999755859375	Fixation	1	1270159
1271.2063288235292	0.0999755859375	ISI Onset	3	1270459
1271.5055047058822	0.0999755859375	Go Cue	2	1270758
1271.8967347058822	0.0999755859375	Response	4	1271149
1278.0233364705882	0.0999755859375	Fixation	1	1277272
1278.3235129411764	0.0999755859375	ISI Onset	3	1277572
1279.0229241176469	0.0999755859375	Go Cue	2	1278271
1279.353118235294	0.0999755859375	Response	4	1278601
1285.5407558823529	0.0999755859375	Fixation	1	1284785
1286.1411088235293	0.0999755859375	ISI Onset	3	1285385
1286.7404611764705	0.0999755859375	Go Cue	2	1285984
1287.1587070588234	0.0999755859375	Response	4	1286402
1293.2582929411765	0.0999755859375	Fixation	1	1292498
1293.7585870588234	0.10009765625	ISI Onset	3	1292998
1294.1748317647057	0.0999755859375	Go Cue	2	1293414
1294.6140899999998	0.0999755859375	Response	4	1293853
1300.6926635294117	0.0999755859375	Fixation	1	1299928
1300.99284	0.10009765625	ISI Onset	3	1300228
1301.3920747058824	0.0999755859375	Go Cue	2	1300627
1301.813322352941	0.0999755859375	Response	4	1301048
1307.909906470588	0.0999755859375	Fixation	1	1307141
1308.610318235294	0.0999755859375	ISI Onset	3	1307841
1309.2096705882352	0.0999755859375	Go Cue	2	1308440
1309.5858917647058	0.0999755859375	Response	4	1308816
1315.744512352941	0.0999755859375	Fixation	1	1314971
1316.444924117647	0.0999755859375	ISI Onset	3	1315671
1317.1443352941176	0.10009765625	Go Cue	2	1316370
1317.632622352941	0.10009765625	Response	4	1316858
1323.6781764705881	0.0999755859375	Fixation	1	1322900
1324.2785294117646	0.0999755859375	ISI Onset	3	1323500
1324.7778229411763	0.0999755859375	Go Cue	2	1323999
1325.1940676470588	0.0999755859375	Response	4	1324415
1331.2956547058823	0.0999755859375	Fixation	1	1330513
1331.9960664705882	0.0999755859375	ISI Onset	3	1331213
1332.3953011764704	0.10009765625	Go Cue	2	1331612
1332.6814694117645	0.0999755859375	Response	4	1331898
1338.9301429411764	0.0999755859375	Fixation	1	1338143
1339.2303194117646	0.0999755859375	ISI Onset	3	1338443
1339.6295541176469	0.10009765625	Go Cue	2	1338842
1340.0297894117646	0.0999755859375	Response	4	1339242
1346.164395882353	0.0999755859375	Fixation	1	1345373
1346.464572352941	0.0999755859375	ISI Onset	3	1345673
1346.7807582352941	0.0999755859375	Go Cue	2	1345989
