name	x	y	z	size
LTP1	-0.0159100105215262	0.0129513045575726	-0.0292720830913142	n/a
LTP2	-0.0188122905748461	0.0139807149310946	-0.0289477590520426	n/a
LTP3	-0.0220665123540249	0.0159918773957923	-0.0282991102983347	n/a
LTP4	-0.0254965578881169	0.016988254959425	-0.0276741981332857	n/a
LTP5	-0.0289210356254025	0.0183526608048308	-0.027349873494734	n/a
LTP6	-0.0317887386512316	0.0194834311037715	-0.0275120354883719	n/a
LTP7	-0.0353025944264776	0.0208644246344674	-0.0268633871967876	n/a
LTP8	-0.0384817992730529	0.022044817644993	-0.0268633870952415	n/a
LENT1	-0.0247950184702016	0.0021114842204181	-0.0368723431690761	n/a
LENT2	-0.0283768623988607	0.0019644951781165	-0.036755226378796	n/a
LENT3	-0.0319560644906232	0.0030291312819098	-0.036638109197105	n/a
LENT4	-0.0352686024526402	0.0037918758761761	-0.0364038748760472	n/a
LENT5	-0.0389837796132184	0.0040310909478886	-0.0362867578134502	n/a
LENT6	-0.0422296490607821	0.0049683467104919	-0.0359894605308177	n/a
LAMY1	-0.0130114769302695	-0.0013140419440395	-0.0176626416018283	n/a
LAMY2	-0.0180124895938417	-0.0009140417027229	-0.0181642368628287	n/a
LAMY3	-0.0233774779959593	-0.0004675832949542	-0.0186327047590663	n/a
LAMY4	-0.0286588696985367	-0.0009342508908339	-0.0192182904681937	n/a
LAMY7	-0.0335959503326903	-0.0011342503339529	-0.0194354297573936	n/a
LAMY8	-0.0387981022228754	-0.0019596609174138	-0.0199038979959276	n/a
LAMY9	-0.0444975249718373	-0.0020675834442011	-0.0205485703222343	n/a
LAMY10	-0.0497302797393444	-0.0029342494902972	-0.020973516880971	n/a
LAH1	-0.0179012380474372	-0.0155780712845686	-0.0129599393624236	n/a
LAH2	-0.0225185318020135	-0.0149662234821045	-0.0135455238892818	n/a
LAH3	-0.0276044449119076	-0.0149662236402722	-0.0138627038417332	n/a
LAH4	-0.0333848165806618	-0.0155662233090417	-0.0135113507127474	n/a
LAH7	-0.0383182113799904	-0.0158820879898011	-0.0143311719717255	n/a
LAH8	-0.0443675175104674	-0.0161487553041468	-0.0147195254841647	n/a
LAH9	-0.0495144755484915	-0.0163653293648823	-0.0146024079470877	n/a
LAH10	-0.0547220852030443	-0.016270864215742	-0.0146024094692706	n/a
LPH1	-0.0209387386699516	-0.0250116882056225	-0.0118428220916287	n/a
LPH2	-0.0258755449000197	-0.0250665210033423	-0.0116085876604257	n/a
LPH3	-0.0314599075253927	-0.0255331877014771	-0.0112572364871223	n/a
LPH4	-0.0364462253939874	-0.0257070208919517	-0.0113743529309669	n/a
LPH5	-0.0418969021452875	-0.0257070210092023	-0.0115684366601675	n/a
LPH6	-0.0473152939866477	-0.0263941467854314	-0.0107486182820148	n/a
LPH7	-0.0525660408964322	-0.0267986930990162	-0.0114513202997579	n/a
LPH8	-0.0577180492941711	-0.0269074398978319	-0.0107486176224881	n/a
LPH9	-0.0635690816060926	-0.0277766055158712	-0.0107486181608908	n/a
LPH10	-0.0697857939729755	-0.0277766057041175	-0.0107486176925007	n/a
LPINS1	-0.0315554173417211	-0.002742752696196	0.0018552764862714	n/a
LPINS2	-0.0343802864317349	-0.0027676559341246	0.0018552757258983	n/a
