trial_number	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fix_onset_time	fixation_time	go_time	target_duration	response_time	correct	pd_parser_sample
1	fast	0.6	0.4	right	37	0.41319	127298.4762	0.35182	1.3348	0.63411	1.735	0	n/a
2	fast	0.7	0.4	left	37	0.4588	127305.5237	0.31779	1.434	0.63411	1.8783	1	n/a
3	fast	0.4	0.6	left	37	0.38367	127312.6648	0.32337	1.3229	0.63411	1.692	1	n/a
4	fast	0.4	0.3	left	37	0.40851	127319.6965	0.32188	1.0216	0.63411	1.4153	1	n/a
5	fast	0.5	0.6	left	37	0.37343	127326.4251	0.34047	1.4234	0.63411	1.7864	1	n/a
6	fast	0.7	0.5	left	37	0.4024	127333.5705	0.30813	1.5243	0.63411	1.9132	1	n/a
7	fast	0.3	0.7	right	39	0.31972	127340.8343	0.30753	1.3239	0.63411	1.6322	1	n/a
8	fast	0.5	0.4	left	37	0.39758	127347.8691	0.31965	1.2193	0.63411	1.6027	1	n/a
9	fast	0.6	0.5	left	37	0.42047	127354.7971	0.32184	1.4214	0.63411	1.8267	1	n/a
10	fast	0.7	0.6	right	39	0.38277	127361.925	0.30726	1.6235	0.63411	1.9915	1	n/a
11	fast	0.5	0.7	right	39	0.67056	127369.2555	0.3068	1.523	0.63411	2.1786	0	n/a
12	fast	0.5	0.5	left	37	0.40818	127376.4854	0.32372	1.3234	0.63411	1.7162	1	n/a
13	fast	0.6	0.5	left	37	0.40901	127383.5245	0.31466	1.4309	0.63411	1.8249	1	798994
14	fast	0.4	0.6	right	39	0.33305	127390.6619	0.30721	1.3236	0.63411	1.6427	1	806124
15	fast	0.5	0.6	left	37	0.40104	127397.6967	0.31935	1.4189	0.63411	1.8045	1	813170
16	fast	0.6	0.7	right	39	0.33861	127404.8314	0.31477	1.6309	0.63411	1.9543	1	820300
17	fast	0.5	0.3	left	37	0.40571	127412.1721	0.32075	1.1204	0.63411	1.5106	1	827647
18	fast	0.3	0.3	left	37	0.41318	127419.0015	0.3215	0.9213	0.63411	1.3191	1	n/a
19	fast	0.3	0.6	left	37	0.38738	127425.6307	0.32276	1.2224	0.63411	1.595	1	841107
20	fast	0.7	0.7	right	39	0.47315	127432.565	0.3185	1.7346	0.63411	2.1927	1	848037
21	fast	0.5	0.7	left	37	0.44209	127440.008	0.32216	1.5217	0.63411	1.9485	1	855484
22	fast	0.6	0.7	right	39	0.24085	127447.2412	0.31905	1.6185	0.63411	1.8441	1	862714
23	fast	0.6	0.6	right	39	0.45124	127454.5679	0.32237	1.5218	0.63411	1.9578	1	870043
24	fast	0.5	0.4	left	37	0.38641	127461.802	0.31825	1.2346	0.63411	1.6054	1	877273
25	fast	0.7	0.3	left	37	0.40196	127468.7492	0.31793	1.3342	0.63411	1.7208	1	884220
26	fast	0.6	0.3	left	37	0.3674	127475.7923	0.32157	1.2212	0.63411	1.5734	1	891267
27	fast	0.3	0.7	left	37	0.44838	127482.7226	0.32143	1.321	0.63411	1.754	1	898197
28	fast	0.5	0.7	right	39	0.43581	127489.7526	0.32155	1.521	0.63411	1.9415	1	905227
29	fast	0.6	0.4	left	37	0.44591	127496.9948	0.32615	1.3257	0.63411	1.7565	1	912473
30	fast	0.6	0.6	left	37	0.42186	127504.0295	0.32149	1.521	0.63411	1.9274	1	919503
31	fast	0.3	0.4	left	37	0.44565	127511.2599	0.32117	1.0209	0.63411	1.4509	1	926733
32	fast	0.4	0.7	left	37	0.4574	127517.9969	0.31439	1.4306	0.63411	1.873	1	933463
33	fast	0.6	0.6	right	39	0.43831	127525.1427	0.31534	1.5315	0.63411	1.9548	1	940610
34	fast	0.5	0.4	left	37	0.43913	127532.3879	0.31697	1.2333	0.63411	1.6577	1	947856
35	fast	0.3	0.5	left	37	0.415	127539.331	0.32059	1.1203	0.63411	1.5198	1	954803
36	fast	0.6	0.7	left	37	0.41939	127546.16	0.32188	1.6213	0.63411	2.0255	1	961633
37	fast	0.3	0.3	right	39	0.3826	127553.4898	0.32207	0.9218	0.63411	1.2896	1	968963
38	fast	0.5	0.7	left	37	0.37913	127560.1266	0.31553	1.5317	0.63411	1.8955	1	975593
39	fast	0.3	0.5	left	37	0.43283	127567.3678	0.32111	1.1208	0.63411	1.5378	1	982840
40	fast	0.4	0.3	left	37	0.38471	127574.1969	0.32227	1.022	0.63411	1.3913	1	989670
41	fast	0.5	0.7	right	39	0.37686	127580.9299	0.31953	1.519	0.63411	1.8805	1	996400
42	fast	0.7	0.3	left	37	0.3526	127588.1605	0.31896	1.3185	0.63411	1.6553	1	1003630
43	fast	0.6	0.7	right	39	0.37624	127595.1968	0.32942	1.6289	0.63411	1.9904	1	1010676
