name	x	y	z	size
Event	n/a	n/a	n/a	n/a
LENT 1	-0.020471674028028446	0.01572104375451761	-0.04151238722692676	n/a
LENT 2	-0.022864724426000693	0.01671777322956558	-0.03969660518508476	n/a
LENT 3	-0.025546295565286415	0.018475785455914093	-0.03767664630128462	n/a
LENT 4	-0.028842096896222386	0.019874821277773975	-0.035611644083399056	n/a
LENT 5	-0.03131070248045853	0.02057756537751277	-0.033687691060586986	n/a
LENT 6	-0.03390301919629772	0.022249975912253063	-0.03154930328020618	n/a
LENT 7	-0.03642073197825863	0.022800690204046306	-0.029500315267415006	n/a
LAMY 1	-0.025729336203833414	-7.590038886885964e-05	-0.016068496110810543	n/a
LAMY 2	-0.03039077397207558	0.0008264730745947304	-0.015587658571284208	n/a
LAMY 3	-0.035778265682563384	0.002043664873314867	-0.015620526340802172	n/a
LAMY 4	-0.041136397342531834	0.0027316487996250486	-0.015316014616404715	n/a
LAMY 5	-0.046257787682133907	0.0035199944209712156	-0.01483463996657747	n/a
LAMY 6	-0.05174077536349375	0.004987844400046043	-0.014804389805529013	n/a
LAMY 7	-0.05743193088831197	0.005419102699645009	-0.014071726545590565	n/a
LPHG 1	-0.032658217173597195	-0.015095978168015294	-0.017748411288883915	n/a
LPHG 2	-0.03910045318093972	-0.017030238773231787	-0.017869591824768948	n/a
LPHG 3	-0.04620144066672822	-0.019078940781640696	-0.017333365363017692	n/a
LPHG 4	-0.0524507246641561	-0.021691899961706142	-0.015520810776819475	n/a
LPHG 5	-0.05968574733163388	-0.024190418687546143	-0.01284336407459341	n/a
LPHG 6	-0.06554815140043423	-0.02603206141631985	-0.009796319079612573	n/a
LPHG 7	-0.06946000979491601	-0.02711315784851736	-0.008223147709168842	n/a
LPLI 1	-0.03399834982292074	-0.0008949610782160278	-0.00841238669754091	n/a
LPLI 2	-0.03718413281919684	-0.0010534691346961722	-0.008412387575301921	n/a
LPLI 3	-0.04047315197441219	-0.0018693727970800751	-0.007724730448544278	n/a
LPLI 4	-0.04426320848577359	-0.001947788888656362	-0.007800860547727524	n/a
LPLI 5	-0.04767276714141554	-0.002222604548985089	-0.007855711878498681	n/a
LPLI 6	-0.0513253448426151	-0.0028217030798968496	-0.007728226307423512	n/a
LPLI 7	-0.05445242674895127	-0.0032300934081682443	-0.0068557129209106055	n/a
LPLI 8	-0.05841897792601267	-0.003332105468307958	-0.006682717974528402	n/a
LPLI 9	-0.061335422344687286	-0.0034699575852650357	-0.0064627652976477065	n/a
LSTG 1	-0.03486796941938826	-0.03376046893826978	-0.006755488702670164	n/a
LSTG 2	-0.03814905572880596	-0.03319525144218496	-0.005379081513655563	n/a
LSTG 3	-0.040563427646759236	-0.033218070905196274	-0.004517726008729369	n/a
LSTG 4	-0.044206685697527066	-0.03328164733873334	-0.002840092144503217	n/a
LSTG 5	n/a	n/a	n/a	n/a
LSTG 6	n/a	n/a	n/a	n/a
LSTG 7	n/a	n/a	n/a	n/a
LSTG 8	n/a	n/a	n/a	n/a
LPIT 1	-0.024946097714433988	-0.030958479854626703	-0.017775397418147803	n/a
LPIT 2	-0.02933818819261103	-0.03227808743135489	-0.017904637886016758	n/a
LPIT 3	-0.0342931492818455	-0.03370062135593033	-0.016920023810705856	n/a
LPIT 4	-0.03988798044151841	-0.03496526502157053	-0.016740730711560757	n/a
LPIT 5	-0.04528222646475126	-0.036493034985126814	-0.015680589952903858	n/a
LPIT 6	-0.05018858548143322	-0.037784691754353714	-0.015679547097938326	n/a
LPIT 7	-0.05577013891670484	-0.03920154069385838	-0.01526155813590313	n/a
LTPO 1	n/a	n/a	n/a	n/a
LTPO 2	n/a	n/a	n/a	n/a
LTPO 3	-0.03879195478396355	-0.04820392648859635	0.013457350730978675	n/a
LTPO 4	-0.04247216341503443	-0.049302719930386714	0.013292794295397698	n/a
LTPO 5	-0.045580283188286955	-0.050101383937442366	0.013292794474861694	n/a
LTPO 6	-0.04886469146526392	-0.051221216004978136	0.013184681943446975	n/a
LTPO 7	-0.05235392677817413	-0.051801722588280766	0.013239534346660036	n/a
LTPO 8	-0.05591978498060172	-0.05346541324213075	0.01340409208700686	n/a
LBRI 1	-0.02358325626752	0.013789015196439977	0.008596248855914127	n/a
LBRI 2	-0.026808767466872753	0.014083233635181557	0.009750155973855642	n/a
LBRI 3	-0.030425440093044414	0.014795879306343893	0.01019230002099485	n/a
LBRI 4	-0.03334903475556729	0.014815862596862985	0.01064255051610121	n/a
LBRI 5	-0.03691419221583778	0.014739374107554028	0.011381693908641211	n/a
LBRI 6	-0.04033373820371128	0.014736264666121485	0.01200608067116741	n/a
LBRI 7	-0.044292036570472024	0.015233133523752997	0.013128457489092455	n/a
LBRI 8	-0.047362664316894725	0.015469767306096345	0.013642536081304257	n/a
LACN 1	-0.0046041881808772875	0.008769841866648875	0.02757032908221288	n/a
LACN 2	-0.009930239171078086	0.010392506703410248	0.02941048946481814	n/a
LACN 3	-0.01701321192730799	0.012583953912166664	0.031228347010369247	n/a
LACN 4	-0.02367509956906679	0.014592570269730544	0.033228918474510975	n/a
LACN 5	-0.03057089233050499	0.01717169426445244	0.03475663222829114	n/a
LACN 6	-0.036590434120179684	0.01963431816745066	0.036109131342536925	n/a
LACN 7	-0.04297991604282703	0.022179023964845244	0.03779600224719835	n/a
LACN 8	-0.05055982401076841	0.024263216738890463	0.03930659362421587	n/a
LOFC 1	-0.015350817886133968	0.05878985191819262	0.005147111617663513	n/a
LOFC 2	-0.02025499920223652	0.05512516281243438	0.006206340052503777	n/a
LOFC 3	-0.025361537437186655	0.05128035167317819	0.00749938266221244	n/a
LOFC 4	-0.0307931966305093	0.04722977274980528	0.009050554911256342	n/a
LOFC 5	-0.0352296087836844	0.04298721414061018	0.011147917859176659	n/a
LOFC 6	-0.03987207978323653	0.038465584717684666	0.01455375360696155	n/a
LOFC 7	-0.04442418463930448	0.033789737115187936	0.01899795263752168	n/a
LOFC 8	-0.04840965324343813	0.02989194335015404	0.02350981295984184	n/a
LOFC 9	-0.05347622600467466	0.02630781198544844	0.026895491607707527	n/a
LOFC 10	n/a	n/a	n/a	n/a
LPCN 1	-0.010384468692151415	-0.047847201229028385	0.007391246922512181	n/a
LPCN 2	-0.016225603336987887	-0.051233345890330184	0.0072454822334464385	n/a
LPCN 3	-0.022446507635115978	-0.05420722172814658	0.007245480330749985	n/a
LPCN 4	-0.029007816319592847	-0.05792218336973646	0.007281540094600161	n/a
LPCN 5	-0.034763837159167935	-0.061268195813872495	0.007327412121110456	n/a
LPCN 6	-0.041315724285585616	-0.06488786533310825	0.007684299077847214	n/a
LPCN 7	-0.047672703697112184	-0.06806894095404516	0.007610655976988682	n/a
LSMA 1	-0.030929594011191143	0.007793398367043722	-0.007442449698026735	n/a
LSMA 2	-0.030169274731962133	0.008284846702410505	-0.004211112880847708	n/a
LSMA 3	-0.0289376305026384	0.008638106175683277	-0.0007670861916599563	n/a
LSMA 4	-0.027861447341852967	0.0082141897148162	0.002554304794456499	n/a
LSMA 5	-0.02686298811970437	0.008214191855697038	0.005852705018432573	n/a
LSMA 6	-0.02592796935507266	0.008605359137491775	0.009016060236269453	n/a
