name	x	y	z	size
Event	n/a	n/a	n/a	n/a
LTP1	-0.02965457057287273	0.00888102819549934	-0.02415066490489963	n/a
LTP2	-0.031779571784426995	0.010148884377827102	-0.023543522541322574	n/a
LTP3	-0.03577957257588742	0.012006027303017789	-0.02290066511816687	n/a
LTP4	-0.03820814382021305	0.013577455347835325	-0.02282923674507677	n/a
LTP5	-0.04137957186094434	0.015406026027397303	-0.0222006656226784	n/a
LTP6	-0.04417957043801726	0.017406027556531256	-0.02160066513462587	n/a
LENT1	-0.02844623779994646	-0.005549527609186868	-0.030289553960195576	n/a
LENT2	-0.03200179503632805	-0.005327305910405101	-0.027511776530994722	n/a
LENT3	-0.03661290317320487	-0.004993971974456173	-0.024567331828379422	n/a
LENT4	-0.041029572190257456	-0.004743972393493721	-0.02115066536349127	n/a
LENT5	-0.044946238050845924	-0.003993972196372283	-0.01823399837707291	n/a
LENT6	-0.04965457121191824	-0.0032439725606920435	-0.014650665560637351	n/a
LENT7	-0.05400179201912727	-0.002438417789425529	-0.011511776313004134	n/a
LENT8	-0.05769133050547669	-0.0019411201759016025	-0.008658648048116818	n/a
LPC1	-0.026446237652454414	-0.00932730522528017	-0.006567332242745095	n/a
LPC2	-0.03127957256694219	-0.009493972983355789	-0.006400665153374831	n/a
LPC3	-0.036579570300351694	-0.009993972980833916	-0.005800664912841597	n/a
LPC4	-0.042279572722870626	-0.010493972843099811	-0.005400664338411048	n/a
LPC5	-0.047208141734746335	-0.010422545123239502	-0.004972093571464825	n/a
LPC6	-0.05277957035082298	-0.010743972228725326	-0.0044006645482580495	n/a
LPC7	-0.058112903551679355	-0.010868972122022272	-0.0041643791266155	n/a
LPC8	-0.06321791472745213	-0.010993973403305986	-0.003333154561226877	n/a
LPHGA1	-0.03015457318838054	-0.023618972706918727	-0.018900666009812425	n/a
LPHGA2	-0.033188784644475305	-0.023771750493931862	-0.018679145850251416	n/a
LPHGA3	-0.03627957266024433	-0.023493972882299874	-0.01840066589905527	n/a
LPHGA4	-0.03977957338050979	-0.023565401497972035	-0.018114950450491364	n/a
LPHGA5	-0.043179569695178714	-0.02399397298561101	-0.01760066471740174	n/a
LPHGA6	-0.04677957028652673	-0.023743972778489508	-0.01740066431759871	n/a
LPHGA7	-0.05027957113602474	-0.023993972886344268	-0.016900665180865217	n/a
