name	x	y	z	size
LTP1	-0.0296360601753536	0.00887757412942	-0.0241141574427767	n/a
LTP2	-0.0317614771891139	0.0101438299135927	-0.0235051330416478	n/a
LTP3	-0.0357622443768785	0.0119981667220574	-0.0228589514575179	n/a
LTP4	-0.0381917666891707	0.0135680224974603	-0.0227853214695059	n/a
LTP5	-0.0413639524218863	0.0153943192012503	-0.0221539677326007	n/a
LTP6	-0.0441648359317169	0.0173922944012154	-0.0215513513061461	n/a
LENT1	-0.0284224930875491	-0.0055496782486275	-0.0302597766141492	n/a
LENT2	-0.0319764134165751	-0.0053308607430867	-0.0274796348329485	n/a
LENT3	-0.0365858482044867	-0.0050016701820539	-0.0245321050648116	n/a
LENT4	-0.0410004889967187	-0.004755885275194	-0.0211125123767831	n/a
LENT5	-0.0449157640461677	-0.0040095760413278	-0.0181930322514437	n/a
LENT6	-0.0496222797018355	-0.0032640451968212	-0.0146063803022798	n/a
LENT7	-0.0539680026756142	-0.0024625465304788	-0.0114643797515302	n/a
LENT8	-0.0576560306436943	-0.0019687693550363	-0.0086086878997788	n/a
LPC1	-0.0264049222153076	-0.0093359711077814	-0.0065403993695374	n/a
LPC2	-0.0312380429842701	-0.0095057773149148	-0.0063707109345271	n/a
LPC3	-0.036537337621156	-0.0100093908346026	-0.0057675287391042	n/a
LPC4	-0.0422367647267628	-0.0105131757607675	-0.0053640904167918	n/a
LPC5	-0.0471651031968033	-0.0104450550776203	-0.0049323391586031	n/a
LPC6	-0.0527359602611342	-0.0107702563515586	-0.0043574808921421	n/a
LPC7	-0.0580690610611498	-0.0108987409815651	-0.0041178372593206	n/a
LPC8	-0.0631734593845615	-0.0110273274249916	-0.0032834006059393	n/a
LPHGA1	-0.030112071912058	-0.023624902394229	-0.0188772609087898	n/a
LPHGA2	-0.0331460436009434	-0.0237796986092905	-0.0186538639574201	n/a
LPHGA3	-0.0362368287361359	-0.023503998959682	-0.0183732932593372	n/a
LPHGA4	-0.0397366001065967	-0.0235777683366002	-0.0180853696375149	n/a
LPHGA5	-0.0431359941769851	-0.0240087112800854	-0.0175690872056824	n/a
LPHGA6	-0.0467360242673674	-0.0237610800617751	-0.0173666819435963	n/a
LPHGA7	-0.050235545341202	-0.0240135092889594	-0.0168645484259206	n/a
LPHGA8	-0.0537352257139551	-0.0242158559687811	-0.0165623929894272	n/a
LPHGA9	-0.057234905515918	-0.0242682643233989	-0.0161101759687625	n/a
LPHGA10	-0.0607345818709373	-0.0243956418774348	-0.0157329897572362	n/a
LPHGB1	-0.0249479891550362	-0.0355545889151832	-0.0130521501192914	n/a
LPHGB2	-0.0278255935371652	-0.0359478465070458	-0.012746672695753	n/a
LPHGB3	-0.0311249280243817	-0.0358033969174641	-0.0119816340416134	n/a
LPHGB4	-0.0345659845627122	-0.0360057622238433	-0.0115440739992521	n/a
LPHGB5	-0.0382034396012015	-0.0360085603544641	-0.0103603137629009	n/a
LPHGB6	-0.042123262912714	-0.0360113736312237	-0.009574684173828	n/a
LPHGB7	-0.0449725745292817	-0.0363884723721528	-0.0088730168847442	n/a
LPHGB8	-0.0482933730413397	-0.0364445363791494	-0.0079423439243551	n/a
LPHGB9	-0.0518323959978922	-0.0364630768863969	-0.0069242139041641	n/a
LPHGB10	-0.0552205720056015	-0.0365212200010943	-0.0058665153311218	n/a
LPHGB11	-0.0582202548229306	-0.0365233317615173	-0.0053645975627824	n/a
LPHGB12	-0.0618302619660223	-0.0368039986128934	-0.0039179594252674	n/a
LPHGB13	-0.0650385016422861	-0.0369442501642358	-0.0029992706791487	n/a
LPHGB14	-0.0677695260300048	-0.0369464231793876	-0.0019342350133786	n/a
LSMAIN1	-0.0347804837303084	0.0023893057195326	0.0001048186467455	n/a
LSMAIN2	-0.0334659309663327	0.0019832289719516	0.0030909903012496	n/a
LSMAIN3	-0.0324871888811544	0.0014883728980716	0.0058846266465173	n/a
LSMAIN4	-0.0314007874773415	0.0005430233344799	0.0097446561638643	n/a
LSMAIN5	-0.03044584401322	-0.0002989508435331	0.0129183002428422	n/a
LSMAIN6	-0.0291288545662205	-0.0010138518310385	0.016431451431328	n/a
LSMAIN7	-0.0283934079907356	-0.0015700762020053	0.019186308201164	n/a
LSMAIN8	-0.027295229893545	-0.002586734781054	0.0227724887592036	n/a
LSMAIN9	-0.0145839079041924	-0.010355972952447	0.0600627552593871	n/a
LSMAIN10	-0.0135817800957143	-0.0109120383033462	0.0628396597986547	n/a
LSMAIN11	-0.0124681855015608	-0.0116903940516295	0.0659497374731847	n/a
LSMAIN12	-0.0116882081735447	-0.012357712666675	0.0687267453478757	n/a
LSMAIN13	-0.010777592829852	-0.0133585037039004	0.0720422030623379	n/a
LSMAIN14	-0.0094266552964361	-0.0140257794097684	0.0756008401365162	n/a
LSMAIN15	-0.0083277603216294	-0.0149551828901173	0.0788824578149363	n/a
LSMAIN16	-0.007203555465914	-0.0154448529882804	0.0819195138141472	n/a
LACING1	0.0028453267413241	0.0155693101334189	0.0371892760917595	n/a
LACING2	-0.0023262268141874	0.0157945862445247	0.0372212486991892	n/a
LACING3	-0.0075595369504879	0.0158245683573095	0.0372912745739592	n/a
LACING5	-0.0187259332768748	0.0157340042275197	0.0376317140173579	n/a
LACING6	-0.0240594241431768	0.0158140202637057	0.0374684915884653	n/a
