trial_number	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fix_onset_time	fixation_time	go_time	target_duration	response_time	correct	pd_parser_sample
1	fast	0.6	0.4	right	39	0.88129	40923.295	0.43526	1.3349	0.9015	2.2028	1	n/a
2	fast	0.7	0.4	left	37	0.38442	40931.0775	0.31561	1.4318	0.9015	1.8017	1	210632
3	fast	0.4	0.6	left	37	0.42713	40938.977	0.31259	1.3289	0.9015	1.7408	1	218529
4	fast	0.4	0.3	left	37	0.47188	40946.7271	0.32571	1.0254	0.9015	1.4829	1	226292
5	fast	0.5	0.6	left	37	0.38174	40954.1916	0.3246	1.4241	0.9015	1.794	1	233755
6	fast	0.7	0.5	left	37	0.48624	40962.0883	0.30727	1.5237	0.9015	1.9985	1	241635
7	fast	0.3	0.7	right	39	0.52456	40970.0459	0.31269	1.3289	0.9015	1.8424	1	249598
8	fast	0.5	0.4	left	37	0.508	40977.8005	0.32139	1.221	0.9015	1.7151	1	257361
9	fast	0.6	0.5	left	37	0.37715	40985.445	0.32344	1.423	0.9015	1.7847	1	265008
10	fast	0.7	0.6	right	39	0.56129	40993.2875	0.31062	1.6267	0.9015	2.1729	1	n/a
11	fast	0.5	0.7	right	39	0.60661	41001.3438	0.31727	1.5334	0.9015	2.1257	1	280901
12	fast	0.5	0.5	left	37	0.43533	41009.3009	0.32321	1.3228	0.9015	1.7431	1	288864
13	fast	0.6	0.5	left	37	0.46624	41017.0448	0.30919	1.4254	0.9015	1.8763	1	296594
14	fast	0.4	0.6	right	39	0.47635	41024.8993	0.31779	1.334	0.9015	1.7965	1	304457
15	fast	0.5	0.6	left	37	0.43647	41032.6567	0.32356	1.4231	0.9015	1.8443	1	312220
16	fast	0.6	0.7	right	39	0.39478	41040.4994	0.31057	1.6267	0.9015	2.0071	1	320050
17	fast	0.5	0.3	left	37	0.44275	41048.5585	0.31452	1.1309	0.9015	1.5583	1	328113
18	fast	0.3	0.3	left	37	0.5704	41056.1199	0.31638	0.93284	0.9015	1.4879	1	335676
19	fast	0.3	0.6	left	37	0.45021	41063.479	0.32056	1.2202	0.9015	1.6549	1	343039
20	fast	0.7	0.7	right	39	0.60101	41071.1199	0.30946	1.7256	0.9015	2.3117	1	350669
21	fast	0.5	0.7	left	37	0.59009	41079.2679	0.32445	1.524	0.9015	2.0987	1	358832
22	fast	0.6	0.7	right	39	0.89018	41087.2127	0.30944	1.6256	0.9015	2.5006	1	366762
23	fast	0.6	0.6	right	39	0.50391	41095.2604	0.32474	1.5243	0.9015	2.0133	1	374825
24	fast	0.5	0.4	left	37	0.60205	41103.2069	0.32466	1.2243	0.9015	1.811	1	382771
25	fast	0.7	0.3	left	37	0.34519	41110.851	0.31045	1.3267	0.9015	1.657	1	390401
26	fast	0.6	0.3	left	37	0.77741	41118.5986	0.326	1.2256	0.9015	1.9874	1	398164
27	fast	0.3	0.7	left	37	0.59703	41126.2451	0.30924	1.3256	0.9015	1.9072	1	405794
28	fast	0.5	0.7	right	37	0.39623	41133.9948	0.32288	1.5224	0.9015	1.9034	0	413557
29	fast	0.6	0.4	left	37	0.5272	41141.9404	0.32366	1.3232	0.9015	1.8352	1	421504
30	fast	0.6	0.6	left	37	0.51707	41149.6873	0.3232	1.5227	0.9015	2.0247	1	429250
31	fast	0.3	0.4	left	37	0.58733	41157.6321	0.32473	1.0245	0.9015	1.5961	1	437197
32	fast	0.4	0.7	left	37	0.5713	41165.0768	0.31005	1.4262	0.9015	1.9837	1	444627
33	fast	0.6	0.6	right	39	0.70094	41172.9277	0.32227	1.5218	0.9015	2.2072	1	452490
34	fast	0.5	0.4	left	37	0.55211	41180.8708	0.32551	1.2251	0.9015	1.7616	1	460436
35	fast	0.3	0.5	left	37	1.4881	41188.5172	0.32564	1.1253	0.9015	2.5984	0	468083
36	fast	0.6	0.7	left	37	0.76298	41196.0719	0.31755	1.6336	0.9015	2.3812	1	475629
37	fast	0.3	0.3	right	39	0.82355	41204.1315	0.321	0.92075	0.9015	1.7285	1	483692
38	fast	0.5	0.7	left	37	0.66495	41211.4748	0.32432	1.5239	0.9015	2.1738	1	491039
39	fast	0.3	0.5	left	37	0.83425	41219.4212	0.32437	1.124	0.9015	1.943	1	498986
40	fast	0.4	0.3	left	37	0.57366	41226.9781	0.31399	1.0304	0.9015	1.5888	1	506532
41	fast	0.5	0.7	right	39	0.66357	41234.4337	0.32165	1.5212	0.9015	2.1697	1	513995
42	fast	0.7	0.3	left	37	0.64695	41242.3783	0.32357	1.3231	0.9015	1.9547	1	521942
43	fast	0.6	0.7	right	39	0.46182	41250.1352	0.32979	1.6292	0.9015	2.0756	1	529705
44	fast	0.4	0.7	right	39	0.51019	41258.1946	0.31674	1.433	0.9015	1.9279	1	537751
45	fast	0.5	0.7	left	37	0.62299	41266.0543	0.32005	1.5196	0.9015	2.127	1	545615
46	fast	0.5	0.4	right	39	0.58469	41274.0073	0.31356	1.2298	0.9015	1.799	1	553561
47	fast	0.5	0.7	left	37	0.41789	41281.667	0.317	1.5332	0.9015	1.9362	1	561224
48	fast	0.3	0.7	left	37	0.74901	41289.624	0.32303	1.3226	0.9015	2.0563	1	569187
49	fast	0.6	0.6	left	37	0.54875	41297.3834	0.3268	1.5263	0.9015	2.0597	1	576950
50	fast	0.5	0.6	left	37	0.72635	41305.3463	0.32699	1.4265	0.9015	2.1374	1	584914
51	fast	0.4	0.3	left	37	0.48378	41313.1979	0.32176	1.0214	0.9015	1.4893	1	592760
52	fast	0.7	0.5	left	37	0.4705	41320.6446	0.32171	1.5212	0.9015	1.9763	1	600207
53	fast	0.3	0.3	left	37	0.44568	41328.6011	0.32826	0.92803	0.9015	1.358	1	608170
54	fast	0.6	0.6	right	39	0.56643	41335.9541	0.32191	1.5214	0.9015	2.0727	1	615516
