trial_number	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fix_onset_time	fixation_time	go_time	target_duration	response_time	correct	pd_parser_sample
1	fast	0.7	0.3	right	39	2.0396	1220016.5021	0.35093	1.3091	1.6042	3.3456	0	574095
2	fast	0.6	0.4	right	39	0.86284	1220026.1291	0.31754	1.3092	1.6042	2.1689	1	583690
3	fast	0.4	0.4	left	37	1.8095	1220035.7452	0.30779	1.1081	1.6042	2.9141	0	593285
4	fast	0.7	0.7	left	37	1.148	1220045.1594	0.30837	1.7083	1.6042	2.8529	1	602698
5	fast	0.4	0.5	left	37	2.6147	1220055.1733	0.31273	1.2134	1.6042	3.8236	0	612726
6	fast	0.7	0.3	left	37	1.9074	1220064.7314	0.3075	1.3081	1.6042	3.2119	0	622271
7	fast	0.6	0.6	left	37	1.5887	1220074.3475	0.30758	1.5088	1.6042	3.094	1	631884
8	fast	0.3	0.5	left	37	0.85722	1220084.1633	0.30877	1.1089	1.6042	1.9625	1	641712
9	fast	0.4	0.6	right	39	0.90479	1220093.5806	0.30797	1.311	1.6042	2.2125	1	651124
10	fast	0.5	0.3	left	37	0.88203	1220103.2019	0.31068	1.1068	1.6042	1.9859	1	660753
11	fast	0.5	0.5	right	39	0.61322	1220112.6244	0.31063	1.3087	1.6042	1.9175	1	670165
12	fast	0.4	0.5	left	37	0.56603	1220122.24	0.30867	1.207	1.6042	1.77	1	679777
13	fast	0.5	0.7	left	37	1.0122	1220131.7577	0.30808	1.5082	1.6042	2.5165	1	689307
14	fast	0.6	0.3	right	39	0.87284	1220141.5863	0.30809	1.2104	1.6042	2.0782	1	699135
15	fast	0.5	0.4	right	39	0.83678	1220151.1022	0.30831	1.2076	1.6042	2.0413	1	708647
16	fast	0.4	0.6	right	39	0.87013	1220160.6251	0.30861	1.3067	1.6042	2.1738	1	718160
17	fast	0.4	0.3	left	37	1.1941	1220170.2525	0.30893	1.0069	1.6042	2.1978	1	727788
18	fast	0.5	0.5	right	39	0.71721	1220179.5668	0.3087	1.3074	1.6042	2.0211	1	737117
19	fast	0.7	0.6	left	37	1.0224	1220189.1807	0.30866	1.6069	1.6042	2.6262	1	746729
