onset	duration	trial_type	value	sample
516.8878729411764	0.0999755859375	Fixation	1	516584
517.4882258823529	0.0999755859375	ISI Onset	3	517184
517.9094735294117	0.0999755859375	Go Cue	2	517605
518.7759829411764	0.0999755859375	Response	4	518471
525.7811011764705	0.0999755859375	Fixation	1	525472
526.381454117647	0.0999755859375	ISI Onset	3	526072
526.7856917647058	0.0999755859375	Go Cue	2	526476
528.021418235294	0.0999755859375	Response	4	527711
534.6563188235293	0.10003662109375	Fixation	1	534342
535.2566717647059	0.10003662109375	ISI Onset	3	534942
535.5608505882352	0.0999755859375	Go Cue	2	535246
536.6274776470588	0.0999755859375	Response	4	536312
543.4494882352941	0.10003662109375	Fixation	1	543130
544.0498411764705	0.0999755859375	ISI Onset	3	543730
544.7392464705882	0.0999755859375	Go Cue	2	544419
545.81688	0.0999755859375	Response	4	545496
552.6258829411764	0.10003662109375	Fixation	1	552301
552.9260594117646	0.0999755859375	ISI Onset	3	552601
553.529414117647	0.0999755859375	Go Cue	2	553204
554.369908235294	0.0999755859375	Response	4	554044
561.4190523529411	0.0999755859375	Fixation	1	561089
561.8192876470588	0.10003662109375	ISI Onset	3	561489
562.204514117647	0.0999755859375	Go Cue	2	561874
563.2901523529412	0.0999755859375	Response	4	562959
579.204508235294	0.0999755859375	Fixation	1	578864
579.6047435294117	0.10003662109375	ISI Onset	3	579264
580.2921476470588	0.0999755859375	Go Cue	2	579951
582.6225176470588	0.10003662109375	Response	4	582280
588.1807852941176	0.0999755859375	Fixation	1	587835
588.4809617647059	0.0999755859375	ISI Onset	3	588135
588.9702494117647	0.0999755859375	Go Cue	2	588624
590.0278711764705	0.0999755859375	Response	4	589681
596.8568858823529	0.10003662109375	Fixation	1	596506
597.5572976470588	0.0999755859375	ISI Onset	3	597206
598.061594117647	0.10003662109375	Go Cue	2	597710
598.9931417647058	0.0999755859375	Response	4	598641
605.9492311764706	0.10003662109375	Fixation	1	605593
606.549584117647	0.10003662109375	ISI Onset	3	606193
607.0358699999999	0.0999755859375	Go Cue	2	606679
608.2025558823528	0.0999755859375	Response	4	607845
614.925508235294	0.0999755859375	Fixation	1	614564
615.3257435294117	0.0999755859375	ISI Onset	3	614964
615.6119117647058	0.0999755859375	Go Cue	2	615250
616.4744188235294	0.0999755859375	Response	4	616112
623.51856	0.0999755859375	Fixation	1	623152
623.9187952941176	0.0999755859375	ISI Onset	3	623552
624.1839511764705	0.0999755859375	Go Cue	2	623817
625.1675294117647	0.0999755859375	Response	4	624800
632.0775917647059	0.10003662109375	Fixation	1	631706
632.7780035294118	0.0999755859375	ISI Onset	3	632406
633.262288235294	0.10003662109375	Go Cue	2	632890
634.2728823529411	0.0999755859375	Response	4	633900
641.1709376470587	0.0999755859375	Fixation	1	640794
641.4711141176471	0.0999755859375	ISI Onset	3	641094
642.0394482352941	0.10003662109375	Go Cue	2	641662
642.9719964705882	0.10003662109375	Response	4	642594
649.9300870588235	0.0999755859375	Fixation	1	649548
650.2302635294117	0.0999755859375	ISI Onset	3	649848
650.9166670588235	0.0999755859375	Go Cue	2	650534
651.8832352941176	0.0999755859375	Response	4	651500
658.8223147058823	0.0999755859375	Fixation	1	658435
659.4226676470588	0.0999755859375	ISI Onset	3	659035
659.8919435294117	0.0999755859375	Go Cue	2	659504
660.8675170588235	0.10003662109375	Response	4	660479
667.8156017647058	0.0999755859375	Fixation	1	667423
668.5160135294117	0.10003662109375	ISI Onset	3	668123
669.1864076470588	0.10003662109375	Go Cue	2	668793
670.1779905882353	0.10003662109375	Response	4	669784
677.1090652941176	0.0999755859375	Fixation	1	676711
677.5093005882352	0.10003662109375	ISI Onset	3	677111
678.1286647058823	0.0999755859375	Go Cue	2	677730
679.9387288235293	0.10003662109375	Response	4	679539
686.0353129411765	0.0999755859375	Fixation	1	685632
686.435548235294	0.0999755859375	ISI Onset	3	686032
686.7207158823529	0.10003662109375	Go Cue	2	686317
687.609238235294	0.0999755859375	Response	4	687205
694.627364117647	0.0999755859375	Fixation	1	694219
694.9275405882353	0.0999755859375	ISI Onset	3	694519
695.3137676470587	0.0999755859375	Go Cue	2	694905
696.2793352941176	0.0999755859375	Response	4	695870
703.2034058823529	0.0999755859375	Fixation	1	702790
703.9038176470588	0.10003662109375	ISI Onset	3	703490
704.2860423529411	0.0999755859375	Go Cue	2	703872
705.2406035294117	0.0999755859375	Response	4	704826
712.1966929411764	0.0999755859375	Fixation	1	711778
712.8971047058823	0.10003662109375	ISI Onset	3	712478
