name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Event	MISC	n/a	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPL1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPL2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPL3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPL4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPL5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAHP1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAHP2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAHP3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAHP4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAHP5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAHP6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAHP7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LSTG1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LSTG2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LSTG3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LSTG4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LSTG5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LSTG6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LSTG7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAIN1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAIN2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAIN3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAIN4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAIN5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACG1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACG2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	bad	n/a
LACG3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	bad	n/a
LACG4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACG7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC9	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTPL1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTPL2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTPL3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTPL4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTPL5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	bad	n/a
RAMY8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY9	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY10	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAMY11	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAHP1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAHP2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAHP3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAHP4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAHP5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAHP6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAHP7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG9	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG10	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG11	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG12	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RSTG13	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RPLIN1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RPLIN2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RPLIN3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RPLIN4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
