trial_number	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fix_onset_time	fixation_time	go_time	target_duration	response_time	correct	pd_parser_sample
1	fast	0.5	0.6	right	39	0.45833	100037.5969	0.37166	1.4212	0.81355	1.867	1	n/a
2	fast	0.6	0.4	right	39	0.45795	100045.2421	0.32285	1.3224	0.81355	1.7665	1	1015197
3	fast	0.6	0.4	left	37	0.46367	100052.7572	0.32115	1.3207	0.81355	1.7702	1	1022710
4	fast	0.6	0.3	right	39	0.55044	100060.2651	0.30966	1.226	0.81355	1.7638	1	1030206
5	fast	0.6	0.7	right	39	0.49315	100067.6801	0.32568	1.6251	0.81355	2.1113	1	1037636
6	fast	0.3	0.6	left	37	0.64778	100075.5184	0.31605	1.2324	0.81355	1.8656	1	1045466
7	fast	0.4	0.4	right	39	0.38957	100082.9385	0.30928	1.1257	0.81355	1.5019	1	1052879
8	fast	0.7	0.5	right	39	0.47344	100090.2522	0.30885	1.5251	0.81355	1.984	1	1060192
9	fast	0.4	0.7	left	37	0.41465	100097.9738	0.31717	1.4334	0.81355	1.8332	1	1067922
10	fast	0.3	0.5	left	37	0.46536	100105.5933	0.31091	1.1273	0.81355	1.5776	1	1075535
11	fast	0.7	0.5	left	37	0.41578	100112.9169	0.31728	1.5335	0.81355	1.937	1	1082865
12	fast	0.6	0.5	right	39	0.40765	100120.6429	0.32108	1.4209	0.81355	1.8132	1	1090594
13	fast	0.4	0.3	left	37	0.37888	100128.2502	0.31042	1.0268	0.81355	1.3909	1	1098191
14	fast	0.4	0.3	left	37	0.63258	100135.4763	0.31435	1.0307	0.81355	1.6479	1	1105421
15	fast	0.7	0.5	right	39	0.30655	100142.6955	0.3084	1.5246	0.81355	1.816	1	1112634
16	fast	0.3	0.6	right	39	0.46174	100150.4136	0.32029	1.2199	0.81355	1.6663	1	1120364
17	fast	0.3	0.7	left	37	0.52825	100157.8301	0.31703	1.3333	0.81355	1.8465	1	1127777
18	fast	0.6	0.5	right	39	0.41792	100165.3499	0.31046	1.4267	0.81355	1.8293	1	1135290
19	fast	0.7	0.7	left	37	0.49691	100172.9632	0.31041	1.7265	0.81355	2.2086	1	1142903
20	fast	0.4	0.6	right	39	0.41323	100180.8814	0.32189	1.3215	0.81355	1.7197	1	1150832
21	fast	0.4	0.3	left	37	0.40298	100188.3918	0.30803	1.0246	0.81355	1.4125	1	1158329
22	fast	0.3	0.4	left	37	0.77356	100195.6028	0.3105	1.0269	0.81355	1.785	1	1165542
23	fast	0.7	0.4	right	39	0.36052	100202.8186	0.32477	1.4243	0.81355	1.7708	1	1172772
24	fast	0.7	0.4	right	39	0.4188	100210.4324	0.32426	1.4238	0.81355	1.8276	1	1180385
25	fast	0.3	0.6	right	39	0.59937	100218.0442	0.30893	1.2253	0.81355	1.8091	1	1187981
26	fast	0.7	0.5	left	37	0.41715	100225.4551	0.3114	1.5276	0.81355	1.9297	1	1195394
27	fast	0.3	0.4	right	39	0.49055	100233.1735	0.32275	1.0225	0.81355	1.4983	1	1203124
28	fast	0.3	0.7	right	39	0.42367	100240.3836	0.30928	1.3257	0.81355	1.7342	1	1210321
29	fast	0.5	0.3	right	39	0.48376	100247.8964	0.30976	1.1262	0.81355	1.5943	1	1217834
30	fast	0.7	0.6	left	37	0.42305	100255.2092	0.31051	1.6266	0.81355	2.0342	1	1225147
31	fast	0.3	0.5	left	37	0.432	100263.0234	0.32606	1.1258	0.81355	1.542	1	1232977
32	fast	0.7	0.4	right	39	0.35668	100270.3387	0.32416	1.4237	0.81355	1.765	1	1240290
33	fast	0.5	0.5	right	39	0.56684	100277.9508	0.32519	1.3248	0.81355	1.8764	1	1247903
34	fast	0.5	0.3	right	39	0.53849	100285.4745	0.31479	1.1311	0.81355	1.6545	1	1255416
35	fast	0.3	0.6	right	39	0.44985	100292.7928	0.32647	1.2261	0.81355	1.6603	1	1262746
36	fast	0.3	0.3	right	39	0.39126	100300.2079	0.32465	0.92443	0.81355	1.3005	1	1270159
37	fast	0.3	0.7	right	39	0.32993	100307.3235	0.32253	1.3222	0.81355	1.6365	1	1277272
38	fast	0.6	0.6	right	39	0.41876	100314.8368	0.32246	1.522	0.81355	1.9258	1	1284785
39	fast	0.5	0.4	left	37	0.43936	100322.5552	0.3172	1.2335	0.81355	1.6573	1	1292498
40	fast	0.3	0.4	right	39	0.42098	100329.979	0.32345	1.0232	0.81355	1.4288	1	1299928
41	fast	0.7	0.6	right	39	0.37692	100337.1908	0.32499	1.6245	0.81355	1.986	1	1307141
